precinct,region,district,city,lat,lng,voters,ballots,voted,preterm,atHome,electionDay,Dmitriev,Kanopackaya,Lukashenko,Tikhanovskaya,Cherechen,againstAll,invalidBallots,totalBallots,spoiledBallots,unusedBallots,noReport,violations,TikhanovskayaPercentage,turnout,LukashenkoPercentage,outsideBelarus
07-003-0029,Минск,Московский,Минск,53.8775015,27.4884738,1644.0,1169.0,1169,576.0,4.0,589.0,12.0,23,783,113,12.0,226.0,,,,,False,1.0,0.09666381522668947,0.7110705596107056,0.669803250641574,False
07-003-0030,Минск,Московский,Минск,53.8775015,27.4884738,2031.0,1401.0,1401,710.0,3.0,688.0,14.0,31,928,143,13.0,272.0,,,,,False,6.0,0.10206995003568879,0.689807976366322,0.662384011420414,False
07-003-0031,Минск,Московский,Минск,53.8775015,27.4884738,2138.0,1513.0,1513,742.0,,771.0,19.0,39,997,149,14.0,295.0,,,,,False,3.0,0.09847984137475214,0.7076707202993452,0.658955717118308,False
07-003-0032,Минск,Московский,Минск,53.8731904,27.469230699999997,2373.0,1643.0,1642,711.0,1.0,930.0,12.0,31,1026,466,12.0,80.0,6.0,2500.0,1.0,857.0,False,19.0,0.2838002436053593,0.6923725242309313,0.6248477466504263,False
07-003-0035,Минск,Московский,Минск,53.870930099999995,27.480751,1924.0,1274.0,1271,655.0,10.0,606.0,16.0,29,844,194,27.0,150.0,11.0,2000.0,1.0,725.0,False,13.0,0.15263571990558616,0.6621621621621622,0.6640440597954367,False
07-003-0036,Минск,Московский,Минск,53.870930099999995,27.480751,2132.0,1393.0,1386,725.0,24.0,637.0,19.0,27,922,206,10.0,180.0,22.0,2200.0,0.0,807.0,False,,0.14862914862914864,0.6533771106941839,0.6652236652236653,False
07-003-0039,Минск,Московский,Минск,53.8664203,27.4784066,1561.0,1049.0,1049,516.0,11.0,522.0,16.0,16,684,234,18.0,78.0,3.0,,3.0,548.0,False,3.0,0.223069590085796,0.6720051249199231,0.652049571020019,False
07-003-0047,Минск,Московский,Минск,53.8678823,27.4609696,1855.0,1286.0,1286,,,,15.0,29,852,96,12.0,238.0,44.0,2000.0,,712.0,False,1.0,0.07465007776049767,0.6932614555256065,0.6625194401244168,False
07-003-0058,Минск,Московский,Минск,53.85781850000001,27.4830696,969.0,938.0,938,280.0,0.0,658.0,7.0,3,329,541,9.0,48.0,1.0,990.0,1.0,51.0,False,,0.5767590618336887,0.9680082559339526,0.35074626865671643,False
07-003-0059,Минск,Московский,Минск,53.858557999999995,27.480650899999997,861.0,608.0,608,343.0,0.0,265.0,6.0,15,407,159,16.0,3.0,2.0,1000.0,0.0,392.0,False,,0.26151315789473684,0.7061556329849012,0.6694078947368421,False
07-003-0061,Минск,Московский,Минск,53.851097100000004,27.483733,1727.0,1339.0,1339,291.0,0.0,1048.0,23.0,9,305,880,32.0,83.0,7.0,1700.0,5.0,356.0,False,1.0,0.6572068707991038,0.7753329473074696,0.22778192681105303,False
07-003-0066,Минск,Московский,Минск,53.8465368,27.4783472,2656.0,1631.0,1628,810.0,4.0,814.0,18.0,39,1065,424,16.0,64.0,2.0,2700.0,6.0,1063.0,False,8.0,0.26044226044226043,0.6140813253012049,0.6541769041769042,False
07-003-0071,Минск,Московский,Минск,53.851591299999995,27.467012100000005,1878.0,1259.0,1259,567.0,6.0,686.0,18.0,51,683,367,19.0,121.0,,,,,False,19.0,0.2915011914217633,0.6703940362087327,0.5424940428911835,False
07-003-0072,Минск,Московский,Минск,53.851591299999995,27.467012100000005,1929.0,1257.0,1257,596.0,17.0,644.0,17.0,28,687,247,13.0,265.0,,,,,False,10.0,0.19649960222752585,0.6516329704510109,0.5465393794749404,False
07-003-0074,Минск,Московский,Минск,53.847522,27.461214000000002,1835.0,1195.0,1195,452.0,5.0,738.0,23.0,12,466,404,12.0,278.0,,,,,False,3.0,0.33807531380753136,0.6512261580381471,0.3899581589958159,False
07-003-0075,Минск,Московский,Минск,53.847522,27.461214000000002,1815.0,1201.0,1200,474.0,11.0,715.0,17.0,25,798,307,12.0,41.0,,,,,False,15.0,0.25583333333333336,0.6617079889807163,0.665,False
07-003-0076,Минск,Московский,Минск,53.847522,27.461214000000002,1832.0,1225.0,1225,586.0,7.0,632.0,16.0,35,801,87,11.0,153.0,122.0,1900.0,12.0,663.0,False,15.0,0.07102040816326531,0.6686681222707423,0.6538775510204081,False
07-003-0078,Минск,Московский,Минск,53.848625600000005,27.4476912,2732.0,2482.0,2482,761.0,12.0,1705.0,48.0,20,1568,751,22.0,51.0,22.0,2751.0,4.0,269.0,False,,0.30257856567284447,0.9084919472913616,0.6317485898468976,False
07-003-0080,Минск,Московский,Минск,53.849407299999996,27.4476973,2715.0,2440.0,2437,820.0,7.0,1610.0,25.0,21,1628,672,29.0,62.0,,,,,False,,0.2757488715633976,0.8987108655616943,0.6680344686089454,False
07-003-0081,Минск,Московский,Минск,53.848625600000005,27.4476912,2999.0,2999.0,2998,927.0,5.0,2066.0,132.0,81,2006,639,48.0,74.0,18.0,3116.0,2.0,118.0,False,6.0,0.21314209472981988,1.0,0.6691127418278853,False
07-003-0087,Минск,Московский,Минск,53.8609034,27.4563837,1972.0,1338.0,1338,631.0,10.0,697.0,18.0,6,899,366,17.0,10.0,22.0,2000.0,2.0,660.0,False,,0.273542600896861,0.678498985801217,0.671898355754858,False
07-003-0088,Минск,Московский,Минск,53.8609034,27.4563837,1701.0,1109.0,1109,544.0,9.0,556.0,12.0,15,736,101,12.0,233.0,,,,,False,3.0,0.09107303877366997,0.6519694297472075,0.6636609558160504,False
07-003-0089,Минск,Московский,Минск,53.86077289999999,27.4543437,1848.0,1286.0,1286,609.0,3.0,674.0,29.0,18,865,87,13.0,274.0,,,,,False,4.0,0.06765163297045101,0.6958874458874459,0.6726283048211509,False
07-003-0093,Минск,Московский,Минск,53.85866329999999,27.441397600000002,1779.0,1499.0,1499,587.0,8.0,904.0,15.0,27,785,542,12.0,48.0,70.0,1800.0,10.0,591.0,False,6.0,0.361574382921948,0.8426082068577853,0.52368245496998,False
07-003-0094,Минск,Московский,Минск,53.85866329999999,27.441397600000002,2227.0,2029.0,2029,641.0,6.0,1382.0,25.0,29,589,1121,52.0,213.0,,,,,False,1.0,0.5524889107934944,0.9110911540188594,0.29029078363725974,False
07-003-0095,Минск,Московский,Минск,53.85866329999999,27.441397600000002,2695.0,1815.0,1815,808.0,3.0,1004.0,21.0,14,899,572,21.0,239.0,49.0,2700.0,6.0,879.0,False,3.0,0.3151515151515151,0.673469387755102,0.4953168044077135,False
07-003-0096,Минск,Московский,Минск,53.85426460000001,27.4365334,2189.0,1424.0,1424,548.0,4.0,872.0,25.0,23,911,344,18.0,103.0,,2200.0,,776.0,False,16.0,0.24157303370786518,0.650525354042942,0.639747191011236,False
07-003-0097,Минск,Московский,Минск,53.85426460000001,27.4365334,2341.0,1540.0,1540,722.0,7.0,811.0,25.0,37,1093,258,15.0,105.0,7.0,2450.0,1.0,909.0,False,14.0,0.16753246753246753,0.6578385305425032,0.7097402597402598,False
07-003-0098,Минск,Московский,Минск,53.85426460000001,27.4365334,2498.0,1674.0,1674,657.0,6.0,1011.0,26.0,48,939,517,17.0,123.0,4.0,2600.0,,926.0,False,14.0,0.3088410991636798,0.6701361088871097,0.5609318996415771,False
07-003-0102,Минск,Московский,Минск,53.862649899999994,27.437307099999998,2679.0,1695.0,1695,901.0,18.0,776.0,18.0,54,1174,241,17.0,191.0,,,,,False,2.0,0.14218289085545724,0.6326987681970885,0.6926253687315634,False
07-003-0103,Минск,Московский,Минск,53.862649899999994,27.437307099999998,2960.0,1898.0,1893,947.0,9.0,937.0,27.0,67,1283,425,18.0,73.0,,,,,False,8.0,0.22451135763338617,0.6412162162162162,0.6777601690438457,False
07-003-0105,Минск,Московский,Минск,53.8635189,27.434144699999997,1380.0,988.0,988,155.0,71.0,761.0,15.0,8,338,560,13.0,54.0,,,,,False,4.0,0.5668016194331984,0.7159420289855073,0.34210526315789475,False
07-004-0002,Минск,Октябрьский,Минск,53.8538835,27.5505463,2269.0,1503.0,1498,781.0,13.0,704.0,22.0,37,798,420,18.0,203.0,,,,,False,,0.2803738317757009,0.6624063464081092,0.5327102803738317,False
07-004-0003,Минск,Октябрьский,Минск,53.854033400000006,27.5492137,2396.0,1589.0,1584,824.0,4.0,756.0,24.0,40,1055,233,19.0,213.0,,,,,False,3.0,0.14709595959595959,0.6631886477462438,0.6660353535353535,False
07-004-0004,Минск,Октябрьский,Минск,53.854033400000006,27.5492137,2143.0,1419.0,1414,327.0,11.0,1076.0,21.0,35,642,510,17.0,116.0,97.0,2500.0,5.0,911.0,False,,0.3606789250353607,0.6621558562762483,0.45403111739745405,False
07-004-0005,Минск,Октябрьский,Минск,53.84993000000001,27.548996999999996,2604.0,2025.0,1895,621.0,9.0,1265.0,37.0,24,713,974,14.0,113.0,20.0,2700.0,3.0,672.0,False,2.0,0.5139841688654354,0.7776497695852534,0.3762532981530343,False
07-004-0007,Минск,Октябрьский,Минск,53.84993000000001,27.548996999999996,2703.0,1791.0,1791,364.0,15.0,1412.0,67.0,88,890,460,51.0,131.0,104.0,2800.0,0.0,1009.0,False,,0.2568397543271915,0.6625971143174251,0.496929089893914,False
07-004-0008,Минск,Октябрьский,Минск,53.8505884,27.538779100000003,2612.0,1729.0,1724,899.0,15.0,810.0,26.0,43,1148,253,21.0,127.0,106.0,2750.0,0.0,1021.0,False,3.0,0.14675174013921113,0.6619448698315467,0.665893271461717,False
07-004-0012,Минск,Октябрьский,Минск,53.8506681,27.5299403,1922.0,1272.0,1269,664.0,12.0,593.0,19.0,32,845,187,15.0,171.0,,,,,False,1.0,0.14736012608353033,0.6618106139438086,0.6658786446020488,False
07-004-0013,Минск,Октябрьский,Минск,53.8506681,27.5299403,2298.0,1523.0,1519,791.0,8.0,720.0,23.0,31,1012,223,18.0,212.0,,,,,False,1.0,0.1468071099407505,0.6627502175805048,0.6662277814351547,False
07-004-0014,Минск,Октябрьский,Минск,53.846337600000005,27.5321316,2567.0,2099.0,2096,883.0,15.0,1198.0,45.0,62,1404,314,66.0,102.0,103.0,2650.0,,551.0,False,15.0,0.14980916030534353,0.8176860148032723,0.6698473282442748,False
07-004-0015,Минск,Октябрьский,Минск,53.846337600000005,27.5321316,2646.0,2500.0,2495,910.0,13.0,1572.0,59.0,85,1501,375,61.0,283.0,130.0,2800.0,1.0,300.0,False,21.0,0.15030060120240482,0.9448223733938019,0.6016032064128256,False
07-004-0016,Минск,Октябрьский,Минск,53.8452608,27.511299800000003,1589.0,1417.0,1417,547.0,8.0,862.0,34.0,52,950,188,31.0,99.0,63.0,,3.0,280.0,False,15.0,0.13267466478475654,0.8917558212712398,0.6704304869442484,False
07-004-0017,Минск,Октябрьский,Минск,53.88050210000001,27.538508,1918.0,1375.0,1373,660.0,16.0,697.0,28.0,16,928,307,13.0,73.0,8.0,2000.0,2.0,623.0,False,,0.22359796067006554,0.7168925964546402,0.6758922068463219,False
07-004-0018,Минск,Октябрьский,Минск,53.843190899999996,27.4958289,1990.0,1777.0,1777,683.0,15.0,1079.0,39.0,31,841,757,20.0,89.0,,,,,False,2.0,0.42599887450759705,0.892964824120603,0.47326955543050087,False
07-004-0020,Минск,Октябрьский,Минск,53.8433555,27.5000936,1906.0,1261.0,1258,656.0,20.0,582.0,19.0,31,838,185,15.0,92.0,78.0,2000.0,0.0,739.0,False,8.0,0.14705882352941177,0.661594963273872,0.6661367249602543,False
07-004-0021,Минск,Октябрьский,Минск,53.8433555,27.5000936,2096.0,1700.0,1700,721.0,7.0,972.0,21.0,35,1099,259,17.0,220.0,49.0,2200.0,0.0,500.0,False,,0.15235294117647058,0.8110687022900763,0.6464705882352941,False
07-004-0022,Минск,Октябрьский,Минск,53.8457387,27.498084999999996,188.0,188.0,188,0.0,0.0,188.0,0.0,7,102,53,5.0,21.0,,,,,False,1.0,0.28191489361702127,1.0,0.5425531914893617,False
07-004-0026,Минск,Октябрьский,Минск,53.848155000000006,27.507387100000003,2221.0,1701.0,1609,451.0,16.0,1142.0,8.0,18,732,713,23.0,115.0,,,,,False,,0.44313238036047237,0.7658712291760468,0.45494095711622123,False
